Times,XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-0.00044,0.00033,-0.00065,-0.00097,-0.00062,-0.00023,-0.00025,-0.00108,0.0001,0.00087
0.001,-0.00093,0.00036,-0.0009,-0.00284,-4e-05,-0.00208,-0.00089,-0.00067,-0.0001,-0.00068
0.0015,-0.00137,0.00074,-0.00128,-0.00115,-0.00111,-0.00112,-0.0008,-0.00038,0.00068,-0.00328
0.002,-0.00247,0.00123,-0.00199,-0.00122,3e-05,-0.00272,-0.00092,0.00041,0.00061,-0.00151
0.0025,-0.00316,0.00153,-0.00286,0.00038,-0.00035,-0.00111,-0.00182,0.00112,0.00245,-0.0036
0.003,-0.00423,0.00154,-0.00172,0.0013,-0.0016,-0.00192,-0.00174,0.00049,0.00236,-0.00183
0.0035,-0.00535,0.00062,-0.00255,0.00201,-0.00084,-0.00349,-0.00202,0.00078,0.00183,-0.00352
0.004,-0.00412,0.00082,-0.00221,0.0039,0.00035,-0.00219,-0.00151,0.00098,0.00148,-0.00224
0.0045,-0.00545,0.00014,-0.00323,0.00241,0.00035,-0.00241,-0.00231,0.00016,0.00176,-0.00333
0.005,-0.00554,0.00017,-0.00326,0.00384,0.00077,-0.00105,-0.00166,-0.00013,0.00055,-0.00035
0.0055,-0.00461,0.00065,-0.00381,0.00201,0.00131,-0.00227,-0.0022,-0.00017,0.00155,0.00133
0.006,-0.0039,0.00052,-0.00305,0.0018,-0.00036,-0.00065,-0.00138,-0.00061,0.00336,0.00032
0.0065,-0.00447,0.0007,-0.00364,0.00334,0.00146,-0.00112,-0.00109,-0.00143,0.00354,0.00277
0.007,-0.00484,0.00014,-0.00347,0.00305,0.00319,-0.00247,-0.00029,-0.00041,0.0019,0.00423
0.0075,-0.00356,0.00036,-0.00287,0.00318,0.00508,-0.00282,-0.00088,-0.0014,0.00309,0.0057
0.008,-0.00485,0.00122,-0.00356,0.00233,0.00577,-0.00253,-6e-05,-0.00062,0.00252,0.00361
0.0085,-0.00594,0.00053,-0.00433,0.00377,0.00491,-0.00207,-0.00042,-0.00048,0.00267,0.00461
0.009,-0.00607,0.00065,-0.00341,0.00227,0.00388,-0.00024,9e-05,-0.00059,0.00131,0.00179
0.0095,-0.00512,0.00029,-0.00234,0.00176,0.00263,-0.00197,-0.00044,-6e-05,0.00216,0.00104
0.01,-0.00386,0.00035,-0.00289,0.00336,0.00211,-0.00236,0.00033,0.00078,0.00128,0.00192
0.0105,-0.00351,0.00123,-0.00181,0.00379,0.00115,-0.00093,0.00045,0.00096,0.00096,-0.00029
0.011,-0.00284,0.00032,-0.00075,0.00247,0.00196,-0.00281,0.00115,0.00193,0.00093,0.00232
0.0115,-0.0019,-0.00023,-0.00139,0.00405,0.00286,-0.00471,0.00099,0.0022,0.00035,0.00429
0.012,-0.00196,-3e-05,-0.0013,0.00253,0.00403,-0.00658,0.00152,0.00234,0.00093,0.0072
0.0125,-0.00117,-0.00013,-0.00194,0.00113,0.00495,-0.00628,0.00126,0.00293,0.00255,0.00513
0.013,-0.00102,-0.00038,-0.00257,0.00054,0.0041,-0.00495,0.00139,0.0039,0.00082,0.00244
0.0135,-0.0015,0.00025,-0.0021,0.00035,0.00488,-0.00621,0.00127,0.00381,0.00221,-0.00034
0.014,-0.00147,-0.00038,-0.0011,-0.00167,0.00415,-0.00696,0.00074,0.00271,0.00108,0.00203
0.0145,-0.00226,0.00016,-0.00129,-0.00343,0.00581,-0.00495,0.00099,0.00313,5e-05,0.00061
0.015,-0.00159,0.00109,-0.00064,-0.00302,0.00397,-0.00345,0.00095,0.00391,-0.00099,0.00061
0.0155,-0.00261,0.00021,0.00058,-0.00494,0.00459,-0.00349,0.00168,0.0046,0.00082,-0.00138
0.016,-0.00373,0.001,0.0,-0.00481,0.00607,-0.00267,0.00156,0.00537,0.00148,-0.00319
0.0165,-0.00501,0.00089,0.00041,-0.00408,0.00716,-0.00242,0.00072,0.00612,-1e-05,-0.0008
0.017,-0.00522,0.00117,0.00043,-0.00337,0.00804,-0.00232,0.00093,0.00538,-0.00164,-0.0019
0.0175,-0.00577,0.00107,0.00171,-0.00503,0.00834,-0.00097,0.00172,0.00527,-0.00141,-0.00224
0.018,-0.00705,0.00123,0.00047,-0.00627,0.00885,-0.0001,0.00189,0.00592,0.00044,-0.00066
0.0185,-0.00718,0.00038,0.00024,-0.00709,0.00924,0.00132,0.00151,0.00555,0.00037,-7e-05
0.019,-0.007,-0.00018,0.00129,-0.00711,0.01091,0.00201,0.00131,0.00667,0.00075,-0.00121
0.0195,-0.00827,-0.00082,0.00019,-0.00798,0.01087,0.0032,0.00175,0.00605,0.00184,-0.00279
0.02,-0.00788,-0.00084,-0.00016,-0.00995,0.01009,0.00169,0.00261,0.00662,0.00294,-0.00538
0.0205,-0.00644,-0.00108,-0.00068,-0.01164,0.00901,0.00204,0.00334,0.00679,0.00356,-0.00724
0.021,-0.00784,-0.00033,-0.00022,-0.01026,0.00891,0.0019,0.00292,0.00791,0.00255,-0.00615
0.0215,-0.00869,0.00057,-0.0005,-0.0098,0.01066,0.00394,0.00298,0.00874,0.00287,-0.00496
0.022,-0.00824,0.0007,-0.0011,-0.0114,0.00917,0.00576,0.00293,0.0094,0.00123,-0.00585
0.0225,-0.00739,0.00164,-0.00106,-0.013,0.01107,0.00727,0.0022,0.00935,-0.00015,-0.00412
0.023,-0.00781,0.00257,-0.00029,-0.01336,0.01007,0.00779,0.00171,0.01025,-0.00164,-0.00576
0.0235,-0.00741,0.00348,-0.00032,-0.01359,0.01106,0.00757,0.0018,0.0097,-0.00131,-0.00602
0.024,-0.00862,0.00387,0.00034,-0.01158,0.00985,0.00561,0.00112,0.00999,-0.00234,-0.00704
0.0245,-0.01004,0.0035,0.00023,-0.01006,0.00841,0.00492,0.00051,0.01038,-0.00137,-0.00777
0.025,-0.00938,0.00344,0.00136,-0.00859,0.01014,0.0032,0.00105,0.01086,-0.00032,-0.008
0.0255,-0.00831,0.00385,0.00184,-0.00925,0.01,0.00218,0.00063,0.0098,-0.00081,-0.00589
0.026,-0.00838,0.00293,0.00054,-0.00886,0.01065,0.00277,0.00039,0.00911,6e-05,-0.00545
0.0265,-0.00711,0.00207,0.00113,-0.01022,0.01192,0.00283,-5e-05,0.01015,0.00013,-0.00635
0.027,-0.00672,0.00205,0.00064,-0.00971,0.01224,0.00083,-0.0006,0.01097,-0.00036,-0.00438
0.0275,-0.00762,0.00135,0.00111,-0.00829,0.01389,0.00076,-0.00094,0.00994,-0.00214,-0.00511
0.028,-0.0072,0.00097,0.00231,-0.00748,0.0154,0.0021,-0.0005,0.00926,-0.00254,-0.00251
0.0285,-0.00643,0.00019,0.00183,-0.00777,0.01602,0.00082,-0.00056,0.01005,-0.00215,-0.00099
0.029,-0.00751,0.00097,0.00283,-0.00611,0.0153,0.00143,4e-05,0.00952,-0.00337,0.00087
0.0295,-0.00816,0.00173,0.00198,-0.00571,0.01657,0.00223,0.00022,0.00906,-0.00171,-0.00146
0.03,-0.00781,0.00218,0.00175,-0.00382,0.01778,0.00417,-3e-05,0.00928,-0.0014,0.00134
0.0305,-0.00824,0.00289,0.00058,-0.00331,0.0166,0.00232,-0.00049,0.00846,-0.00075,0.00289
0.031,-0.0093,0.00287,-0.0002,-0.0051,0.0169,0.00057,-0.00074,0.00795,-0.00077,0.0007
0.0315,-0.01062,0.003,-0.00093,-0.00333,0.0187,-0.00048,-1e-05,0.00743,0.00015,-0.0007
0.032,-0.01024,0.00246,-0.00209,-0.00343,0.01948,-0.00204,0.0006,0.00702,-0.00092,0.00149
0.0325,-0.01053,0.00208,-0.00327,-0.00276,0.01962,-0.00064,-0.00022,0.00601,-0.00208,0.00078
0.033,-0.01132,0.00265,-0.00326,-0.00127,0.01926,-0.00121,-0.00065,0.00491,-0.00152,0.00022
0.0335,-0.01244,0.0027,-0.00269,0.00024,0.01745,-0.00074,-0.00063,0.00393,-0.00075,-0.00096
0.034,-0.0114,0.0031,-0.00257,-0.00126,0.01713,0.00066,-0.00038,0.00331,-0.00218,-0.00045
0.0345,-0.01092,0.0029,-0.00286,-0.00139,0.01888,-0.00057,0.0003,0.00445,-0.00257,-0.00263
0.035,-0.01157,0.00269,-0.00415,-0.00189,0.01783,-0.00168,0.00039,0.00455,-0.00249,-0.00246
0.0355,-0.01028,0.0022,-0.00314,-0.00061,0.01839,0.00034,0.00069,0.00568,-0.00118,-0.00407
0.036,-0.01111,0.00301,-0.00387,-0.00025,0.01994,0.00231,0.00055,0.00507,-0.00244,-0.00445
0.0365,-0.01205,0.00239,-0.00495,3e-05,0.02184,0.00316,0.00051,0.00565,-0.00292,-0.00714
0.037,-0.01298,0.00313,-0.00374,-0.00153,0.02008,0.00437,0.0004,0.00642,-0.00309,-0.00567
0.0375,-0.01325,0.00382,-0.00345,-0.0032,0.02048,0.00458,0.00033,0.00602,-0.00219,-0.005
0.038,-0.01293,0.00475,-0.00301,-0.00264,0.01925,0.00511,0.00096,0.00482,-0.00344,-0.00758
0.0385,-0.01412,0.0047,-0.00231,-0.00391,0.01826,0.00475,0.00123,0.0058,-0.00318,-0.00796
0.039,-0.01314,0.00418,-0.00262,-0.00191,0.01934,0.00542,0.00047,0.00643,-0.00206,-0.00625
0.0395,-0.01332,0.00345,-0.00167,-0.00249,0.02023,0.00529,0.00079,0.00575,-0.00374,-0.00516
0.04,-0.01235,0.00296,-0.0021,-0.00073,0.01897,0.00327,0.00117,0.00455,-0.00529,-0.00391
0.0405,-0.01318,0.00352,-0.00179,-0.0027,0.01984,0.00273,0.00196,0.00356,-0.00652,-0.00432
0.041,-0.01276,0.00403,-0.00163,-0.00389,0.01831,0.0047,0.00117,0.0028,-0.00796,-0.00214
0.0415,-0.01271,0.00461,-0.00231,-0.0019,0.01812,0.00288,0.00083,0.00269,-0.00957,-0.00477
0.042,-0.01155,0.00464,-0.00181,-0.00043,0.0188,0.00475,0.00129,0.00273,-0.00888,-0.00624
0.0425,-0.01242,0.00466,-0.00064,-0.00067,0.02023,0.00378,0.00126,0.00292,-0.00982,-0.00377
0.043,-0.01297,0.00381,-0.00084,0.00122,0.01861,0.00542,0.00171,0.00398,-0.01048,-0.00445
0.0435,-0.01162,0.00334,-0.00024,0.0015,0.01788,0.00345,0.00132,0.00436,-0.01162,-0.00198
0.044,-0.01118,0.00312,-0.0003,0.00348,0.01829,0.00387,0.00185,0.00475,-0.01001,4e-05
0.0445,-0.01214,0.00353,3e-05,0.00475,0.01677,0.00457,0.0018,0.00579,-0.00986,0.00027
0.045,-0.01326,0.00265,-0.00086,0.00572,0.01718,0.00543,0.00147,0.00528,-0.01032,0.00292
0.0455,-0.01179,0.00247,-0.00045,0.00555,0.01682,0.0057,0.00171,0.00483,-0.01139,0.00587
0.046,-0.01102,0.00216,-0.00014,0.00658,0.01542,0.00726,0.00173,0.00426,-0.0103,0.0046
0.0465,-0.01,0.00271,0.00052,0.0048,0.01408,0.00716,0.00125,0.00498,-0.01213,0.00706
0.047,-0.01125,0.00201,0.00039,0.00621,0.0158,0.00762,0.001,0.00475,-0.01373,0.00799
0.0475,-0.01276,0.00181,0.00143,0.00488,0.01502,0.00566,0.00179,0.00372,-0.01448,0.0101
0.048,-0.01325,0.00198,0.00113,0.0047,0.01632,0.00575,0.00165,0.00468,-0.01453,0.0117
0.0485,-0.01295,0.00169,0.00175,0.00656,0.01576,0.00579,0.00099,0.0043,-0.01345,0.00911
0.049,-0.01379,0.00081,0.00269,0.00687,0.01569,0.00622,0.00167,0.00346,-0.01395,0.00804
0.0495,-0.01424,0.00049,0.00222,0.00744,0.01667,0.0049,0.00113,0.00379,-0.01288,0.0075
0.05,-0.01575,0.00067,0.00185,0.00576,0.01529,0.00416,0.00181,0.00487,-0.01362,0.01017
0.0505,-0.01441,0.00013,0.00143,0.00545,0.01641,0.00551,0.00224,0.00424,-0.01466,0.00996
0.051,-0.01388,0.00105,0.00201,0.00354,0.01739,0.00381,0.00176,0.00543,-0.01286,0.01019
0.0515,-0.01286,0.00148,0.00228,0.00267,0.0168,0.0041,0.0017,0.00423,-0.0139,0.01243
0.052,-0.01398,0.00242,0.00244,0.00416,0.01752,0.00605,0.00119,0.00507,-0.01438,0.01016
0.0525,-0.01414,0.00255,0.00327,0.00412,0.01626,0.00794,0.00154,0.00501,-0.0146,0.00774
0.053,-0.014,0.00282,0.00254,0.00244,0.01783,0.00643,0.00173,0.00489,-0.01628,0.01037
0.0535,-0.01349,0.00265,0.00239,0.00201,0.01778,0.00671,0.00101,0.00407,-0.01466,0.01221
0.054,-0.01306,0.0019,0.00169,0.00072,0.01745,0.00569,0.00041,0.00432,-0.01398,0.01277
0.0545,-0.0137,0.0017,0.00071,-0.00011,0.01866,0.0054,0.00017,0.0053,-0.01547,0.01194
0.055,-0.01273,0.00221,0.00057,-0.00143,0.01829,0.00369,0.00014,0.00583,-0.01696,0.01411
0.0555,-0.01309,0.00164,0.00056,-0.00335,0.01879,0.00309,0.00098,0.00626,-0.01751,0.01244
0.056,-0.01197,0.0021,0.00055,-0.00381,0.01737,0.00293,0.00144,0.00532,-0.01738,0.0103
0.0565,-0.01099,0.00276,0.00155,-0.00573,0.01782,0.00354,0.00061,0.00516,-0.01803,0.01259
0.057,-0.01088,0.00197,0.00041,-0.00728,0.01674,0.00503,-0.00025,0.00619,-0.01715,0.01406
0.0575,-0.01083,0.00259,0.00113,-0.00565,0.01797,0.00327,0.00052,0.00668,-0.01832,0.0152
0.058,-0.01072,0.00248,0.00199,-0.0063,0.01882,0.00427,-5e-05,0.00701,-0.01913,0.01508
0.0585,-0.01219,0.00341,0.00156,-0.00594,0.01897,0.00531,-0.00084,0.00774,-0.01778,0.01352
0.059,-0.013,0.00331,0.00257,-0.00536,0.01929,0.00328,-0.00059,0.00813,-0.01884,0.01256
0.0595,-0.01365,0.00372,0.00285,-0.0034,0.0175,0.00519,-0.00132,0.00861,-0.01708,0.01144
0.06,-0.01351,0.00351,0.00349,-0.00532,0.0184,0.00593,-0.00047,0.00883,-0.01602,0.01387
0.0605,-0.01291,0.00307,0.00476,-0.00564,0.01907,0.0077,-9e-05,0.00909,-0.01729,0.01221
0.061,-0.01339,0.0032,0.00489,-0.00708,0.02051,0.0095,-0.00029,0.01014,-0.01719,0.01018
0.0615,-0.01443,0.00362,0.00485,-0.00901,0.0189,0.00956,0.00041,0.01005,-0.01632,0.00807
0.062,-0.01544,0.00276,0.00529,-0.00921,0.02019,0.01079,0.00088,0.00967,-0.01573,0.00927
0.0625,-0.01471,0.00337,0.00645,-0.01065,0.02094,0.01063,0.00133,0.00901,-0.01619,0.01073
0.063,-0.01347,0.00249,0.00597,-0.00861,0.02157,0.01165,0.00172,0.00969,-0.01547,0.01012
0.0635,-0.01355,0.0026,0.0056,-0.01061,0.02111,0.01333,0.00161,0.00946,-0.01627,0.00873
0.064,-0.01346,0.00216,0.00617,-0.01244,0.02248,0.01279,0.00126,0.01023,-0.01631,0.01124
0.0645,-0.01458,0.00196,0.00638,-0.01448,0.02256,0.01371,0.00096,0.0101,-0.01617,0.01409
0.065,-0.01455,0.00199,0.0073,-0.01318,0.02317,0.01292,0.00111,0.01121,-0.01502,0.01458
0.0655,-0.01599,0.00256,0.00653,-0.01292,0.02477,0.01118,0.00073,0.01179,-0.01348,0.01266
0.066,-0.01697,0.00295,0.00706,-0.01341,0.02653,0.0099,0.00108,0.01186,-0.01248,0.01478
0.0665,-0.01741,0.00286,0.00815,-0.01222,0.02611,0.00927,0.00133,0.01144,-0.01141,0.01702
