Times,XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-0.00049,0.00123,0.00022,8e-05,0.00101,0.00054,-0.0015,0.00224,-0.00057,-0.00078
0.001,-0.00136,0.00206,-0.00032,-0.00073,0.00036,0.0006,-0.00283,0.00475,-0.00213,-0.00219
0.0015,-0.00169,0.00266,-0.00091,-0.00214,0.00211,0.00113,-0.0054,0.00325,-0.0025,-0.00373
0.002,-0.00257,0.00286,-0.00131,-0.00332,0.00043,0.00119,-0.00538,0.00417,-0.00144,-0.0025
0.0025,-0.00328,0.00368,-0.0014,-0.00327,0.0003,0.00084,-0.00539,0.00621,-0.00098,-0.00339
0.003,-0.00243,0.00369,-0.00208,-0.00153,0.00015,0.0003,-0.0051,0.00373,-0.00215,-0.00481
0.0035,-0.00285,0.0057,-0.00222,-0.00289,0.00063,0.00065,-0.00354,0.00392,-0.00109,-0.00621
0.004,-0.00325,0.00819,-0.00249,-0.00438,0.00086,0.00064,-0.00571,0.00323,-0.00045,-0.00767
0.0045,-0.00246,0.00536,-0.00298,-0.00322,0.0,0.00143,-0.0082,0.00423,0.00029,-0.00892
0.005,-0.00291,0.00684,-0.00224,-0.00429,-0.00215,0.00131,-0.00584,0.00208,0.0012,-0.00926
0.0055,-0.00368,0.00546,-0.00138,-0.00255,-0.00088,0.00115,-0.00712,0.00151,0.00087,-0.00807
0.006,-0.00454,0.00649,-0.00095,-0.00159,-0.00165,0.00178,-0.00529,0.00031,-0.00039,-0.00869
0.0065,-0.00407,0.00496,-0.00095,-0.00036,-0.00378,0.00113,-0.00472,0.00028,-0.00146,-0.00779
0.007,-0.00411,0.00714,-0.00157,-0.00085,-0.00504,0.00177,-0.00495,0.00166,-0.00272,-0.00746
0.0075,-0.00428,0.00845,-0.0007,-0.00146,-0.00293,0.00163,-0.00301,-0.00065,-0.00178,-0.00877
0.008,-0.00452,0.00792,-0.00147,0.00019,-0.00088,0.0009,-0.00437,0.00016,-0.00112,-0.00891
0.0085,-0.00388,0.00495,-0.00226,0.00012,-0.00017,0.0015,-0.00484,0.00054,-0.00028,-0.01018
0.009,-0.00324,0.00564,-0.00193,-0.00023,-0.00042,0.00209,-0.00244,-0.00143,-0.00072,-0.00966
0.0095,-0.0029,0.00506,-0.00192,0.00024,0.00038,0.00254,-0.00171,-0.00063,-0.00151,-0.00991
0.01,-0.00316,0.0072,-0.00105,-0.00105,0.00142,0.00213,-0.00253,0.00176,-0.00144,-0.00838
0.0105,-0.00402,0.0069,-0.00128,-0.0006,0.00239,0.00152,-0.00413,0.00088,-0.00223,-0.00719
0.011,-0.00373,0.00803,-0.00089,0.00011,0.00184,0.00169,-0.00219,0.00222,-0.00241,-0.00598
0.0115,-0.00439,0.01092,-0.0016,-0.0016,0.00051,0.00184,-0.00338,0.00101,-0.00323,-0.00689
0.012,-0.0049,0.01269,-0.00187,-0.00098,-0.00117,0.00185,-0.00113,0.00235,-0.00422,-0.00835
0.0125,-0.00446,0.01217,-0.00131,0.00076,0.00073,0.00199,-0.00071,0.00475,-0.00309,-0.00787
0.013,-0.00408,0.01187,-0.00158,3e-05,0.00201,0.00259,0.00037,0.00267,-0.00318,-0.00661
0.0135,-0.00426,0.01081,-0.00237,-0.00163,0.00254,0.00287,0.00074,0.00109,-0.00326,-0.00572
0.014,-0.00455,0.01336,-0.00323,-0.00317,0.00318,0.00226,-0.00086,0.00029,-0.00385,-0.00647
0.0145,-0.00467,0.01568,-0.00305,-0.00454,0.00237,0.00265,-0.00244,0.00268,-0.00331,-0.00649
0.015,-0.00451,0.01355,-0.00263,-0.00509,0.00243,0.00196,-0.003,0.00186,-0.00361,-0.0057
0.0155,-0.00405,0.01634,-0.00331,-0.00571,0.00058,0.00163,-0.00351,-0.00025,-0.00468,-0.00575
0.016,-0.0034,0.01793,-0.0042,-0.00433,0.0027,0.00201,-0.00395,-0.00262,-0.00455,-0.00431
0.0165,-0.00255,0.01652,-0.00434,-0.00375,0.00441,0.00204,-0.00546,-0.00028,-0.00583,-0.00353
0.017,-0.00337,0.01931,-0.00376,-0.00502,0.00503,0.00272,-0.00295,0.00015,-0.00614,-0.00221
0.0175,-0.00375,0.01851,-0.00415,-0.00611,0.0065,0.00307,-0.00082,0.0004,-0.00761,-0.00159
0.018,-0.00295,0.01841,-0.00426,-0.00733,0.00729,0.00296,0.00109,-0.0009,-0.00583,-0.00067
0.0185,-0.00296,0.02094,-0.00392,-0.00644,0.00516,0.00291,0.00016,-0.00215,-0.00734,-0.00105
0.019,-0.00323,0.02094,-0.00394,-0.00558,0.00328,0.00355,0.00214,-6e-05,-0.00848,-0.0003
0.0195,-0.00271,0.01802,-0.00426,-0.00514,0.00391,0.004,0.00314,0.00193,-0.00752,0.00054
0.02,-0.00207,0.0192,-0.00371,-0.00457,0.00321,0.00413,0.00512,0.00382,-0.00598,0.00141
0.0205,-0.00151,0.0175,-0.00448,-0.00547,0.00407,0.00387,0.00749,0.00561,-0.00754,0.00286
0.021,-0.00171,0.01484,-0.00429,-0.00496,0.00605,0.00369,0.00594,0.00773,-0.00756,0.00293
0.0215,-0.00163,0.01734,-0.00464,-0.00496,0.00678,0.00404,0.00375,0.0086,-0.00603,0.0033
0.022,-0.00138,0.0174,-0.00504,-0.00383,0.00489,0.00434,0.00169,0.00932,-0.00645,0.00278
0.0225,-0.00189,0.01994,-0.00446,-0.00447,0.00498,0.00493,0.00246,0.00769,-0.00692,0.0037
0.023,-0.00162,0.02225,-0.00406,-0.00584,0.00406,0.00504,0.00066,0.00936,-0.0069,0.00471
0.0235,-0.00151,0.02223,-0.00365,-0.00596,0.00603,0.00458,0.00117,0.00685,-0.00884,0.00382
0.024,-0.00153,0.02074,-0.00306,-0.00739,0.00644,0.00477,0.00143,0.00523,-0.00767,0.00229
0.0245,-0.00182,0.01797,-0.00237,-0.00592,0.00766,0.00527,-0.00076,0.00659,-0.00969,0.00158
0.025,-0.00104,0.01737,-0.00242,-0.00547,0.00851,0.00465,0.00098,0.00619,-0.01077,0.00063
0.0255,-0.00127,0.01493,-0.00231,-0.00694,0.01016,0.0054,0.00249,0.00756,-0.0089,0.00071
0.026,-0.00195,0.01572,-0.00221,-0.00845,0.00834,0.00508,0.00467,0.00579,-0.00829,-0.00039
0.0265,-0.00166,0.01502,-0.00274,-0.00781,0.00876,0.00536,0.00311,0.00404,-0.00834,-0.00062
0.027,-0.00177,0.01502,-0.00325,-0.0075,0.00812,0.00546,0.0014,0.0056,-0.01021,-0.00146
0.0275,-0.00149,0.01614,-0.00361,-0.00687,0.00694,0.0062,0.00031,0.005,-0.01118,-0.00172
0.028,-0.00087,0.01671,-0.00314,-0.0062,0.00512,0.00605,-0.00054,0.00606,-0.01017,-0.0023
0.0285,-0.00143,0.01596,-0.00396,-0.00715,0.00459,0.00669,0.00188,0.00716,-0.00926,-0.00198
0.029,-0.0015,0.01746,-0.00431,-0.0073,0.00303,0.00593,-0.00068,0.00669,-0.01075,-0.00158
0.0295,-0.00167,0.01828,-0.00506,-0.00747,0.00293,0.00637,-0.00117,0.00746,-0.01136,-0.00169
0.03,-0.00158,0.01969,-0.0054,-0.0084,0.0031,0.0061,-0.00101,0.00621,-0.01189,-0.00262
0.0305,-0.00091,0.02146,-0.00589,-0.00888,0.00247,0.00604,-0.00351,0.00506,-0.01291,-0.00184
0.031,-0.00114,0.02032,-0.00531,-0.00826,0.00034,0.00581,-0.00577,0.0039,-0.01313,-0.00108
0.0315,-0.00086,0.02141,-0.00557,-0.00844,0.00253,0.00633,-0.00505,0.00466,-0.01365,-0.00159
0.032,-0.00068,0.02416,-0.00518,-0.00729,0.00213,0.00659,-0.0035,0.00407,-0.01279,-0.0016
0.0325,-0.00157,0.0233,-0.00513,-0.00722,0.00012,0.0072,-0.00234,0.0032,-0.01118,-0.00068
0.033,-0.00239,0.02113,-0.00433,-0.00582,-0.00154,0.00791,-0.00179,0.00463,-0.01172,-0.00157
