Times,XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-0.00091,0.00069,0.00283,7e-05,0.00107,-0.00102,-0.0003,-0.00064,0.00022,0.00058
0.001,-4e-05,0.00031,0.00564,-0.00031,0.00128,-0.00063,-0.00139,-0.00109,5e-05,0.00062
0.0015,-0.00066,-0.00062,0.0072,-0.0008,0.00071,0.00036,-0.00116,-0.00122,-0.00031,0.00066
0.002,-0.00063,0.00087,0.00945,-0.00046,0.00168,0.0016,-0.0012,0.00011,0.00021,0.00045
0.0025,-0.00127,-0.00039,0.00798,-0.00116,0.00113,0.00094,-0.00164,0.00093,0.0004,-5e-05
0.003,-0.00022,0.00089,0.00613,-0.0007,0.00109,0.00025,-0.00277,0.00086,0.00072,0.00044
0.0035,-0.00053,0.00103,0.00769,-0.00087,0.0019,-0.00078,-0.00219,0.00169,0.00049,0.00098
0.004,0.00043,0.00081,0.00621,-0.00056,0.00149,-0.00159,-0.00318,0.00298,0.00091,0.00121
0.0045,0.00092,0.00103,0.0083,-0.00047,0.00228,-0.00116,-0.00397,0.00369,0.00129,0.00057
0.005,0.00049,-0.00031,0.01102,-0.00072,0.0032,-0.00096,-0.00386,0.00326,0.00145,0.00062
0.0055,0.00043,0.00075,0.01167,-0.00138,0.00387,-0.00179,-0.00321,0.00385,0.00175,0.00088
0.006,0.00121,0.00223,0.0128,-0.00195,0.00366,-0.00146,-0.00392,0.00271,0.00131,0.00047
0.0065,0.00023,0.00098,0.01174,-0.00241,0.00386,-0.00189,-0.00495,0.00309,0.00122,0.00044
0.007,-0.00055,0.00189,0.00942,-0.0026,0.004,-0.00098,-0.00517,0.00505,0.00162,0.00032
0.0075,-0.00031,0.00094,0.00767,-0.00307,0.00483,-0.00022,-0.00482,0.00599,0.00197,7e-05
0.008,0.0004,0.00194,0.0098,-0.00293,0.00566,0.00094,-0.00504,0.0048,0.00246,0.00078
0.0085,0.00085,0.00174,0.00908,-0.0026,0.00602,0.0018,-0.0044,0.00391,0.00261,0.00141
0.009,0.00086,0.00129,0.00785,-0.0019,0.00693,0.00058,-0.00404,0.00508,0.00301,0.00123
0.0095,0.0007,0.00201,0.01018,-0.00255,0.00724,-0.0001,-0.00502,0.00502,0.00304,0.00078
0.01,0.0018,0.00346,0.00905,-0.00302,0.00727,-0.00034,-0.00496,0.00444,0.00342,0.00085
0.0105,0.00153,0.00231,0.01188,-0.00237,0.00678,-0.00148,-0.00502,0.00506,0.00361,0.00111
0.011,0.00091,0.00367,0.00943,-0.00258,0.00603,-0.00156,-0.00386,0.00361,0.00387,0.00102
0.0115,0.00048,0.00409,0.01201,-0.00292,0.00682,-0.00088,-0.00389,0.00168,0.00384,0.00123
0.012,0.00083,0.00561,0.01283,-0.00279,0.0065,-0.00199,-0.004,0.00078,0.00409,0.00072
0.0125,0.0014,0.00645,0.01197,-0.00277,0.00712,-0.00098,-0.00299,0.0013,0.00378,-9e-05
0.013,0.00061,0.00588,0.0148,-0.00246,0.00644,-0.00102,-0.00309,0.00088,0.00384,-0.00066
0.0135,0.00051,0.00443,0.01543,-0.00254,0.00598,-0.00017,-0.00329,0.00025,0.00381,-0.00065
0.014,-0.00019,0.00339,0.01273,-0.00258,0.00569,-0.00033,-0.00233,-0.00176,0.00418,-0.00132
0.0145,0.0008,0.00362,0.01087,-0.00184,0.00675,0.00073,-0.00188,-0.00316,0.00413,-0.00084
0.015,-0.00022,0.00357,0.00947,-0.00155,0.00587,0.00161,-0.00165,-0.00519,0.00384,-0.00037
0.0155,-0.00098,0.00431,0.00897,-0.0011,0.00553,0.00209,-0.00209,-0.00683,0.00352,-0.0012
0.016,-0.00121,0.00463,0.00678,-0.00077,0.0048,0.00102,-0.00142,-0.00771,0.00369,-0.00154
0.0165,-0.00231,0.00532,0.00736,-0.00135,0.00388,0.0013,-0.00134,-0.00864,0.00417,-0.00097
0.017,-0.00343,0.0048,0.00809,-0.00171,0.00402,0.00023,-0.00038,-0.00777,0.00371,-0.00132
0.0175,-0.00311,0.00449,0.00574,-0.00171,0.00347,0.00077,-0.00118,-0.00908,0.00394,-0.00137
0.018,-0.00278,0.00567,0.00358,-0.00116,0.00266,-1e-05,-0.00062,-0.00878,0.00401,-0.00082
0.0185,-0.00367,0.00465,0.00202,-0.00071,0.00186,0.00119,-0.00042,-0.00987,0.00427,-0.00078
0.019,-0.0035,0.00447,-0.00069,-0.00015,0.00166,0.00138,-0.0014,-0.0084,0.00451,-0.00014
0.0195,-0.00422,0.00518,-0.00179,0.00033,0.00165,0.00197,-0.00124,-0.00994,0.00412,0.00024
0.02,-0.00489,0.00497,-0.00333,0.00051,0.00089,0.00209,-0.00112,-0.01124,0.00402,0.00036
0.0205,-0.0041,0.00418,-0.00612,0.00105,0.00144,0.00166,-0.00045,-0.01264,0.00417,0.00071
0.021,-0.00379,0.00533,-0.00506,0.00103,0.00248,0.00291,-0.00125,-0.01373,0.00439,0.00088
0.0215,-0.00443,0.00469,-0.00739,0.00151,0.00173,0.00397,-0.00179,-0.01504,0.00466,0.00128
