0.0,0.00047239,0.087792,0.99186,45.825,0.57839,2.5063,0.41775,1.3104,0.66568,61.792,1.9761,0.00032607,0.00055339,0.00077639,0.00063468,0.00049753
0.0005,0.00039577,0.082075,1.0205,46.788,0.57659,2.4796,0.4025,1.2608,0.69239,61.39,1.9818,0.00084442,0.00017914,0.00076535,0.00097743,0.00052488
0.001,0.00048731,0.085888,1.0395,48.633,0.58343,2.4701,0.38914,1.2989,0.71718,62.723,2.0562,0.00056145,0.00098888,0.00076396,0.0007157,6.7228e-05
0.0015,0.00013892,0.083979,1.0891,50.268,0.5905,2.4281,0.39293,1.3314,0.71528,65.97,2.1287,0.00069004,0.00065624,0.00058417,0.00058963,0.00024258
0.002,0.00031849,0.082073,1.0739,46.661,0.57727,2.4357,0.39863,1.318,0.66187,61.636,2.0867,0.00083804,2.6939e-05,2.7247e-05,0.00091755,0.0007125
0.0025,0.000969,0.083971,1.0796,46.397,0.57278,2.5445,0.39864,1.3333,0.66377,59.816,2.102,0.00021894,0.00058036,0.00094347,0.00018757,0.00025267
0.003,0.00060987,0.082063,1.0891,47.563,0.54619,2.4949,0.40626,1.3371,0.66759,60.596,2.0562,0.0002383,0.00014958,0.0009056,0.00039316,2.2698e-05
0.0035,0.00056124,0.085876,1.1464,51.382,0.52521,2.6799,0.40815,1.3447,0.67904,67.656,2.0981,0.00025326,0.0008419,0.00094077,0.00078936,0.00063629
0.004,0.00039787,0.082057,1.0586,48.313,0.50793,2.451,0.40816,1.2913,0.63326,64.6,1.9379,0.00024588,0.00026833,0.00073071,0.00089597,0.00040639
0.0045,0.00036825,0.078244,1.0395,47.166,0.49458,2.4243,0.42535,1.2837,0.63135,61.058,1.9341,7.7136e-05,0.00020252,0.00037671,0.00076243,0.00056334
0.005,0.00084389,0.080148,1.0033,48.948,0.43354,2.2278,0.42918,1.2226,0.57604,61.695,1.8712,0.00077084,3.2603e-05,7.258e-05,0.00048779,4.1247e-05
0.0055,0.00050624,0.078236,0.99947,50.783,0.49244,2.4205,0.43108,1.2932,0.61228,66.971,1.9856,0.00021201,0.00071404,6.3699e-06,0.00083464,0.00046575
0.006,0.0007011,0.080138,1.0109,49.73,0.49323,2.39,0.45397,1.2894,0.58939,67.438,1.9761,0.00016368,0.000239,0.00021364,0.00090133,0.00091488
0.0065,0.00084652,0.085866,1.0376,47.887,0.5224,2.3919,0.44827,1.3085,0.59702,63.059,1.9799,0.00072256,0.00015426,0.00032126,0.00061077,0.00092673
0.007,0.00079972,0.093498,1.0224,48.772,0.52554,2.3537,0.45401,1.2665,0.58557,63.28,1.915,0.00011577,0.00041498,0.00049344,0.00089974,0.00073476
0.0075,0.00044815,0.087781,0.99569,52.776,0.53833,2.4987,0.48451,1.2436,0.5913,69.449,1.9112,0.00094302,0.00080474,2.0347e-05,0.00014516,3.5404e-05
0.008,0.00066249,0.10304,0.93083,50.817,0.53003,2.6074,0.46545,1.236,0.55506,68.499,1.9112,0.0009054,0.00045415,0.00074307,0.00087387,0.00053834
