XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00045,-0.00026,0.00006,-0.00103,-0.00066,-0.00076,-0.00233,-0.00069,0.00265,0.00045
-0.00029,-0.00277,0.00059,-0.00152,-0.00103,-0.00009,-0.00368,-0.00003,0.00017,0.00074
0.00022,-0.00002,0.00118,-0.00198,-0.00000,0.00153,-0.00297,0.00050,0.00220,0.00023
-0.00007,-0.00017,0.00031,-0.00148,-0.00026,0.00099,-0.00144,0.00046,0.00346,0.00060
0.00034,0.00203,-0.00087,-0.00113,-0.00124,-0.00051,-0.00007,0.00010,0.00518,0.00061
0.00020,0.00471,-0.00060,-0.00038,-0.00076,0.00029,0.00243,-0.00054,0.00654,0.00154
0.00046,0.00387,-0.00102,-0.00042,-0.00059,-0.00097,0.00310,-0.00062,0.00802,0.00048
0.00066,0.00518,-0.00081,-0.00149,-0.00123,0.00025,0.00264,-0.00085,0.00724,0.00146
0.00087,0.00792,-0.00129,-0.00231,-0.00153,-0.00052,0.00285,-0.00043,0.00642,0.00140
0.00109,0.00760,-0.00297,-0.00263,-0.00042,0.00111,0.00260,-0.00136,0.00785,0.00209
0.00141,0.00563,-0.00216,-0.00301,-0.00070,0.00171,0.00481,-0.00114,0.01043,0.00088
0.00112,0.00619,-0.00361,-0.00378,0.00009,0.00035,0.00306,-0.00160,0.01051,0.00091
0.00082,0.00560,-0.00485,-0.00450,0.00029,-0.00067,0.00459,-0.00062,0.01085,-0.00004
0.00061,0.00370,-0.00511,-0.00390,-0.00043,-0.00196,0.00642,-0.00101,0.00990,-0.00095
0.00093,0.00313,-0.00571,-0.00313,-0.00151,-0.00219,0.00732,-0.00039,0.00958,-0.00035
0.00073,0.00086,-0.00468,-0.00418,-0.00199,-0.00148,0.00538,-0.00062,0.01135,-0.00102
0.00088,0.00126,-0.00628,-0.00407,-0.00209,-0.00134,0.00575,-0.00005,0.01000,-0.00017
0.00111,0.00104,-0.00646,-0.00463,-0.00334,-0.00026,0.00686,-0.00012,0.00986,-0.00045
0.00062,0.00295,-0.00527,-0.00381,-0.00230,-0.00023,0.00841,0.00018,0.01195,-0.00154
0.00106,0.00180,-0.00550,-0.00399,-0.00344,-0.00190,0.00811,0.00047,0.01426,-0.00153
0.00059,0.00233,-0.00561,-0.00476,-0.00459,-0.00134,0.00764,0.00135,0.01209,-0.00203
0.00077,0.00510,-0.00475,-0.00381,-0.00572,-0.00237,0.00852,0.00091,0.01085,-0.00229
0.00119,0.00585,-0.00458,-0.00287,-0.00657,-0.00202,0.00869,0.00159,0.01069,-0.00259
0.00105,0.00469,-0.00545,-0.00250,-0.00727,-0.00301,0.00800,0.00123,0.01261,-0.00318
0.00145,0.00375,-0.00377,-0.00184,-0.00623,-0.00170,0.00590,0.00174,0.01320,-0.00366
0.00182,0.00271,-0.00366,-0.00236,-0.00543,-0.00190,0.00326,0.00200,0.01390,-0.00421
0.00154,0.00020,-0.00421,-0.00175,-0.00459,-0.00327,0.00415,0.00201,0.01557,-0.00323
0.00149,0.00263,-0.00458,-0.00273,-0.00428,-0.00390,0.00300,0.00244,0.01651,-0.00300
0.00127,0.00357,-0.00464,-0.00203,-0.00353,-0.00391,0.00056,0.00281,0.01526,-0.00183
0.00081,0.00621,-0.00429,-0.00146,-0.00437,-0.00456,-0.00143,0.00238,0.01774,-0.00083
0.00136,0.00430,-0.00308,-0.00037,-0.00435,-0.00505,-0.00290,0.00157,0.01775,-0.00162
0.00133,0.00684,-0.00173,-0.00143,-0.00548,-0.00654,-0.00387,0.00168,0.01707,-0.00276
0.00171,0.00593,-0.00006,-0.00041,-0.00481,-0.00504,-0.00109,0.00103,0.01635,-0.00263
0.00114,0.00814,0.00130,-0.00088,-0.00557,-0.00586,0.00115,0.00160,0.01451,-0.00162
0.00074,0.00760,0.00181,-0.00061,-0.00486,-0.00745,0.00155,0.00162,0.01359,-0.00216
0.00062,0.01012,0.00339,0.00026,-0.00394,-0.00913,0.00287,0.00232,0.01169,-0.00216
0.00043,0.01242,0.00224,0.00062,-0.00463,-0.00977,0.00323,0.00225,0.01386,-0.00276
0.00059,0.01260,0.00337,-0.00040,-0.00509,-0.00974,0.00285,0.00207,0.01308,-0.00148
0.00081,0.01327,0.00452,0.00053,-0.00624,-0.00896,0.00144,0.00151,0.01221,-0.00249
0.00098,0.01423,0.00476,-0.00040,-0.00502,-0.00940,0.00119,0.00097,0.01175,-0.00275
0.00154,0.01663,0.00331,-0.00062,-0.00463,-0.00905,0.00068,0.00160,0.01064,-0.00178
0.00100,0.01602,0.00311,-0.00099,-0.00344,-0.00845,0.00207,0.00206,0.00915,-0.00242
0.00076,0.01731,0.00226,-0.00060,-0.00361,-0.00956,0.00418,0.00238,0.00828,-0.00320
0.00047,0.01614,0.00356,-0.00110,-0.00290,-0.00887,0.00606,0.00249,0.00724,-0.00369
0.00017,0.01510,0.00239,-0.00161,-0.00246,-0.01000,0.00534,0.00152,0.00603,-0.00484
-0.00028,0.01297,0.00178,-0.00180,-0.00352,-0.00931,0.00701,0.00098,0.00777,-0.00394
0.00019,0.01157,0.00121,-0.00206,-0.00267,-0.01057,0.00840,0.00085,0.00904,-0.00411
0.00010,0.00968,0.00030,-0.00251,-0.00351,-0.01150,0.00738,0.00115,0.00831,-0.00423
0.00049,0.01225,0.00187,-0.00179,-0.00409,-0.01117,0.00853,0.00077,0.00728,-0.00524
0.00010,0.01037,0.00054,-0.00155,-0.00451,-0.01078,0.00669,0.00109,0.00857,-0.00430
0.00018,0.00817,0.00184,-0.00233,-0.00361,-0.01246,0.00434,0.00199,0.01000,-0.00407
0.00001,0.01024,0.00183,-0.00242,-0.00335,-0.01324,0.00630,0.00168,0.01210,-0.00412
0.00057,0.00766,0.00276,-0.00147,-0.00230,-0.01479,0.00593,0.00095,0.01232,-0.00322
0.00108,0.00707,0.00259,-0.00082,-0.00139,-0.01603,0.00487,0.00029,0.01174,-0.00234
