XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00024,-0.00138,0.00171,-0.00185,-0.00062,-0.00152,-0.00035,0.00006,-0.00133,-0.00154
-0.00075,-0.00048,0.00363,-0.00414,-0.00098,-0.00179,-0.00089,0.00114,-0.00215,0.00001
-0.00175,0.00068,0.00516,-0.00171,-0.00178,-0.00128,-0.00114,0.00339,-0.00156,0.00149
-0.00210,0.00004,0.00310,-0.00179,-0.00168,-0.00182,-0.00072,0.00305,-0.00166,0.00053
-0.00262,-0.00146,0.00441,-0.00182,-0.00182,-0.00044,-0.00071,0.00097,-0.00305,0.00067
-0.00363,-0.00317,0.00496,-0.00125,-0.00183,0.00032,-0.00127,0.00086,-0.00212,0.00166
-0.00471,-0.00178,0.00687,-0.00396,-0.00256,0.00178,-0.00051,0.00272,-0.00318,0.00263
-0.00424,-0.00272,0.00826,-0.00180,-0.00248,0.00102,0.00029,0.00317,-0.00375,0.00326
-0.00469,-0.00380,0.00981,-0.00252,-0.00251,0.00143,0.00024,0.00267,-0.00230,0.00194
-0.00588,-0.00217,0.00709,-0.00494,-0.00318,0.00101,0.00053,0.00179,-0.00060,0.00239
-0.00588,-0.00252,0.00544,-0.00735,-0.00235,-0.00054,0.00006,0.00153,0.00096,0.00382
-0.00535,-0.00231,0.00829,-0.00889,-0.00150,-0.00057,0.00051,0.00042,-0.00099,0.00455
-0.00483,-0.00062,0.00545,-0.00762,-0.00220,-0.00135,0.00067,-0.00070,-0.00239,0.00557
-0.00596,-0.00138,0.00734,-0.00627,-0.00238,-0.00079,0.00108,-0.00133,-0.00425,0.00639
-0.00722,-0.00086,0.01021,-0.00717,-0.00302,-0.00031,0.00035,-0.00162,-0.00543,0.00530
-0.00815,0.00046,0.01236,-0.00695,-0.00359,0.00091,-0.00059,0.00019,-0.00599,0.00541
-0.00742,0.00035,0.01290,-0.00432,-0.00284,0.00115,-0.00036,0.00118,-0.00796,0.00576
-0.00742,0.00207,0.01367,-0.00147,-0.00339,0.00146,-0.00034,-0.00066,-0.00874,0.00611
-0.00642,0.00284,0.01411,-0.00102,-0.00403,0.00197,-0.00024,-0.00276,-0.00814,0.00584
-0.00602,0.00420,0.01391,0.00140,-0.00492,0.00029,-0.00080,-0.00434,-0.00764,0.00570
-0.00608,0.00477,0.01190,0.00105,-0.00522,0.00033,-0.00083,-0.00561,-0.00881,0.00535
-0.00632,0.00509,0.00930,0.00212,-0.00504,-0.00054,-0.00031,-0.00702,-0.00694,0.00446
-0.00686,0.00448,0.00900,0.00345,-0.00449,-0.00111,-0.00034,-0.00504,-0.00697,0.00584
-0.00574,0.00314,0.00802,0.00605,-0.00432,-0.00045,0.00040,-0.00461,-0.00597,0.00494
-0.00463,0.00420,0.00828,0.00762,-0.00370,-0.00003,0.00098,-0.00376,-0.00497,0.00524
-0.00339,0.00375,0.00565,0.00857,-0.00353,0.00101,0.00018,-0.00501,-0.00527,0.00378
-0.00251,0.00211,0.00853,0.00628,-0.00366,0.00116,-0.00040,-0.00288,-0.00717,0.00332
-0.00185,0.00364,0.00673,0.00676,-0.00402,0.00243,0.00050,-0.00294,-0.00640,0.00408
-0.00104,0.00302,0.00668,0.00457,-0.00396,0.00401,0.00022,-0.00515,-0.00712,0.00326
-0.00119,0.00259,0.00817,0.00275,-0.00406,0.00308,-0.00031,-0.00532,-0.00611,0.00297
-0.00027,0.00297,0.00807,0.00075,-0.00356,0.00306,-0.00032,-0.00344,-0.00780,0.00342
-0.00106,0.00216,0.00984,0.00091,-0.00399,0.00223,-0.00006,-0.00556,-0.00897,0.00439
-0.00161,0.00354,0.00939,0.00252,-0.00359,0.00303,-0.00013,-0.00610,-0.00714,0.00280
-0.00252,0.00170,0.00788,0.00220,-0.00414,0.00173,0.00018,-0.00766,-0.00697,0.00432
-0.00342,0.00018,0.00657,-0.00064,-0.00363,0.00183,0.00013,-0.00715,-0.00879,0.00482
-0.00320,0.00144,0.00589,-0.00231,-0.00305,0.00083,-0.00028,-0.00535,-0.00746,0.00494
-0.00352,0.00075,0.00346,-0.00247,-0.00257,-0.00073,0.00018,-0.00453,-0.00742,0.00639
-0.00268,0.00157,0.00493,0.00030,-0.00283,-0.00148,-0.00050,-0.00577,-0.00624,0.00626
-0.00237,0.00088,0.00666,0.00228,-0.00373,-0.00247,-0.00036,-0.00778,-0.00542,0.00488
-0.00299,-0.00023,0.00804,0.00205,-0.00303,-0.00305,-0.00043,-0.00840,-0.00708,0.00634
-0.00409,-0.00038,0.00544,0.00455,-0.00280,-0.00469,-0.00040,-0.01039,-0.00705,0.00702
-0.00377,-0.00133,0.00368,0.00541,-0.00372,-0.00494,-0.00006,-0.01064,-0.00684,0.00556
-0.00350,-0.00245,0.00140,0.00549,-0.00376,-0.00518,-0.00088,-0.01120,-0.00839,0.00496
-0.00471,-0.00197,0.00045,0.00263,-0.00318,-0.00535,-0.00068,-0.01057,-0.00851,0.00426
-0.00556,-0.00165,0.00092,0.00224,-0.00355,-0.00545,-0.00130,-0.01009,-0.00875,0.00422
-0.00630,-0.00069,-0.00187,0.00512,-0.00393,-0.00448,-0.00083,-0.01054,-0.00857,0.00374
-0.00736,-0.00236,-0.00062,0.00519,-0.00374,-0.00380,-0.00116,-0.01009,-0.00661,0.00445
-0.00631,-0.00231,-0.00287,0.00491,-0.00378,-0.00353,-0.00168,-0.00900,-0.00655,0.00346
-0.00640,-0.00125,-0.00094,0.00245,-0.00324,-0.00294,-0.00160,-0.00930,-0.00704,0.00270
-0.00713,-0.00285,-0.00116,0.00383,-0.00413,-0.00308,-0.00087,-0.00952,-0.00802,0.00228
-0.00615,-0.00204,-0.00031,0.00548,-0.00479,-0.00470,-0.00165,-0.00772,-0.00640,0.00319
-0.00670,-0.00027,0.00039,0.00570,-0.00517,-0.00438,-0.00215,-0.00617,-0.00540,0.00271
-0.00573,-0.00054,0.00069,0.00538,-0.00594,-0.00594,-0.00129,-0.00824,-0.00647,0.00248
-0.00520,-0.00231,-0.00067,0.00619,-0.00677,-0.00586,-0.00142,-0.00746,-0.00619,0.00163
-0.00549,-0.00220,-0.00300,0.00358,-0.00609,-0.00486,-0.00162,-0.00952,-0.00581,0.00293
-0.00478,-0.00044,-0.00413,0.00325,-0.00605,-0.00643,-0.00191,-0.00853,-0.00673,0.00341
-0.00574,0.00047,-0.00337,0.00449,-0.00514,-0.00601,-0.00179,-0.00889,-0.00681,0.00279
