XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00206,-0.00073,-0.00022,0.00215,0.00125,-0.00118,-0.00146,0.00096,-0.00078,-0.00108
0.00060,0.00078,-0.00033,0.00324,0.00229,-0.00086,-0.00124,0.00114,0.00021,0.00054
-0.00162,-0.00041,-0.00014,0.00126,0.00308,0.00034,0.00053,0.00057,0.00039,-0.00109
-0.00159,0.00056,-0.00106,-0.00037,0.00211,0.00043,-0.00149,0.00156,0.00056,-0.00121
-0.00171,-0.00130,-0.00199,0.00100,0.00284,0.00175,-0.00289,0.00219,0.00024,0.00034
-0.00167,0.00056,-0.00290,-0.00051,0.00383,0.00195,-0.00450,0.00233,0.00120,-0.00068
0.00052,0.00135,-0.00343,0.00218,0.00470,0.00327,-0.00376,0.00235,0.00102,-0.00195
-0.00081,0.00073,-0.00366,0.00066,0.00539,0.00321,-0.00332,0.00158,0.00195,-0.00047
-0.00319,0.00087,-0.00309,-0.00217,0.00646,0.00391,-0.00233,0.00179,0.00279,-0.00090
-0.00100,-0.00091,-0.00314,-0.00495,0.00640,0.00263,-0.00176,0.00250,0.00282,0.00036
-0.00206,-0.00291,-0.00271,-0.00531,0.00541,0.00196,0.00010,0.00311,0.00358,0.00020
-0.00367,-0.00386,-0.00311,-0.00778,0.00642,0.00152,0.00099,0.00299,0.00270,0.00016
-0.00190,-0.00524,-0.00289,-0.01044,0.00782,0.00051,0.00163,0.00334,0.00183,0.00111
0.00044,-0.00323,-0.00276,-0.01215,0.00641,0.00192,0.00305,0.00381,0.00160,0.00206
0.00047,-0.00464,-0.00346,-0.01185,0.00641,0.00191,0.00481,0.00282,0.00277,0.00147
-0.00096,-0.00559,-0.00415,-0.01169,0.00547,0.00071,0.00366,0.00309,0.00207,0.00106
-0.00050,-0.00422,-0.00381,-0.01328,0.00435,0.00096,0.00390,0.00329,0.00227,0.00066
-0.00264,-0.00318,-0.00371,-0.01152,0.00428,0.00191,0.00587,0.00247,0.00191,-0.00075
-0.00351,-0.00406,-0.00378,-0.01166,0.00501,0.00339,0.00699,0.00192,0.00240,-0.00171
-0.00524,-0.00603,-0.00441,-0.01415,0.00455,0.00246,0.00549,0.00122,0.00201,-0.00251
-0.00727,-0.00657,-0.00345,-0.01480,0.00571,0.00337,0.00495,0.00203,0.00304,-0.00242
-0.00739,-0.00711,-0.00378,-0.01727,0.00630,0.00291,0.00609,0.00272,0.00192,-0.00135
-0.00602,-0.00682,-0.00326,-0.01986,0.00731,0.00192,0.00564,0.00332,0.00271,-0.00044
-0.00631,-0.00692,-0.00323,-0.01958,0.00710,0.00138,0.00570,0.00251,0.00236,0.00119
-0.00546,-0.00838,-0.00358,-0.02184,0.00590,0.00056,0.00513,0.00312,0.00338,-0.00001
-0.00313,-0.00696,-0.00312,-0.02256,0.00572,0.00059,0.00546,0.00308,0.00319,-0.00038
-0.00200,-0.00885,-0.00395,-0.02291,0.00681,-0.00060,0.00704,0.00268,0.00226,-0.00129
0.00059,-0.01075,-0.00392,-0.02101,0.00753,0.00091,0.00834,0.00299,0.00267,-0.00200
-0.00141,-0.01160,-0.00406,-0.02147,0.00619,-0.00050,0.00887,0.00321,0.00375,-0.00035
-0.00205,-0.01160,-0.00326,-0.02432,0.00593,0.00091,0.00702,0.00294,0.00377,-0.00136
0.00049,-0.01301,-0.00302,-0.02265,0.00457,-0.00039,0.00722,0.00206,0.00272,0.00012
0.00064,-0.01324,-0.00296,-0.02014,0.00330,-0.00031,0.00887,0.00164,0.00309,-0.00027
0.00280,-0.01471,-0.00370,-0.02129,0.00244,-0.00081,0.00876,0.00263,0.00210,-0.00098
0.00006,-0.01533,-0.00373,-0.02096,0.00314,0.00029,0.00707,0.00204,0.00268,-0.00102
-0.00116,-0.01671,-0.00381,-0.01855,0.00193,-0.00103,0.00688,0.00241,0.00269,-0.00166
-0.00333,-0.01586,-0.00476,-0.01940,0.00292,-0.00133,0.00861,0.00265,0.00202,-0.00124
-0.00180,-0.01770,-0.00475,-0.01790,0.00298,-0.00142,0.01050,0.00284,0.00095,-0.00266
-0.00153,-0.01610,-0.00538,-0.01639,0.00168,-0.00130,0.01043,0.00235,-0.00007,-0.00388
-0.00338,-0.01627,-0.00631,-0.01645,0.00192,0.00006,0.00922,0.00299,0.00057,-0.00534
-0.00359,-0.01731,-0.00623,-0.01472,0.00302,-0.00066,0.00884,0.00385,0.00084,-0.00372
-0.00119,-0.01773,-0.00719,-0.01475,0.00160,-0.00038,0.00758,0.00371,0.00198,-0.00457
0.00096,-0.01637,-0.00671,-0.01251,0.00047,-0.00067,0.00928,0.00395,0.00255,-0.00391
0.00218,-0.01472,-0.00580,-0.01235,0.00034,-0.00059,0.01059,0.00424,0.00348,-0.00419
0.00257,-0.01362,-0.00509,-0.01203,0.00000,0.00082,0.00897,0.00419,0.00445,-0.00285
0.00245,-0.01391,-0.00441,-0.00950,0.00107,-0.00050,0.00965,0.00496,0.00429,-0.00353
0.00143,-0.01462,-0.00409,-0.00735,-0.00041,0.00099,0.00928,0.00487,0.00427,-0.00520
0.00297,-0.01440,-0.00422,-0.00866,-0.00038,0.00193,0.00739,0.00521,0.00459,-0.00414
0.00321,-0.01289,-0.00349,-0.00826,-0.00025,0.00068,0.00529,0.00428,0.00388,-0.00268
